in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,non_insulated_r,l_insulation,False,True,78.679208,1.526738,55.881527,161.39704,440808.873328,0,811.560588,LT-ready,5,6099.084416,Not LT-ready,3,10866.92643,Not LT-ready,Windowsdouble_glas_Roofnon_insulated_r_Wallsl_insulation.png
acht_w_foil,non_insulated_r,l_insulation,False,True,73.572941,1.546514,55.901303,156.310549,421351.184402,0,714.56581,LT-ready,5,5894.613426,Not LT-ready,3,10575.806002,Not LT-ready,Windowsacht_w_foil_Roofnon_insulated_r_Wallsl_insulation.png
HR++,non_insulated_r,l_insulation,False,True,69.721222,1.5533,55.908088,152.465615,406668.416523,0,639.371396,LT-ready,5,5742.621808,Not LT-ready,3,10354.717938,Not LT-ready,WindowsHR++_Roofnon_insulated_r_Wallsl_insulation.png
triple_glas,non_insulated_r,l_insulation,False,True,67.407905,1.565981,55.92077,150.16498,397855.968005,0,592.955322,LT-ready,5,5649.342898,Not LT-ready,3,10220.32404,Not LT-ready,Windowstriple_glas_Roofnon_insulated_r_Wallsl_insulation.png
double_glas,l_r_insulation,l_insulation,False,True,57.467524,1.258898,55.613687,139.917516,359739.824024,0,668.814973,LT-ready,5,4563.251002,Almost LT-ready,3,7078.144956,Almost LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallsl_insulation.png
acht_w_foil,l_r_insulation,l_insulation,False,True,52.123305,1.277527,55.632316,134.591926,339373.98171,0,568.926453,LT-ready,3,4314.358658,Almost LT-ready,3,6747.248305,Almost LT-ready,Windowsacht_w_foil_Roofl_r_insulation_Wallsl_insulation.png
HR++,l_r_insulation,l_insulation,True,True,48.105615,1.285378,55.640167,130.582088,324059.06701,0,491.246451,LT-ready,3,4146.926041,Almost LT-ready,3,6494.188039,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallsl_insulation.png
triple_glas,l_r_insulation,l_insulation,True,True,45.638879,1.29693,55.651719,128.126903,314660.818002,0,443.456185,LT-ready,3,4045.495708,Almost LT-ready,3,6339.859249,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallsl_insulation.png
double_glas,m_r_insulation,l_insulation,False,True,50.909899,1.181944,55.536733,133.282938,334681.228785,0,617.612417,LT-ready,3,4106.5335,Almost LT-ready,3,5917.522121,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsl_insulation.png
acht_w_foil,m_r_insulation,l_insulation,True,True,45.512564,1.201379,55.556168,127.905037,314113.399024,0,516.196715,LT-ready,3,3851.379133,Almost LT-ready,1,5571.94343,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsl_insulation.png
HR++,m_r_insulation,l_insulation,True,True,41.446891,1.213206,55.567995,123.851191,298618.247693,0,437.276449,LT-ready,3,3671.646976,Almost LT-ready,1,5306.940625,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsl_insulation.png
triple_glas,m_r_insulation,l_insulation,True,True,39.000026,1.225915,55.580704,121.417035,289296.56663,0,388.763856,LT-ready,2,3567.020331,Almost LT-ready,1,5145.022307,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsl_insulation.png
double_glas,h_r_insulation,l_insulation,True,True,47.913457,1.148788,55.503577,130.253339,323232.328985,0,591.918734,LT-ready,3,3898.630573,Almost LT-ready,1,5386.04378,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsl_insulation.png
acht_w_foil,h_r_insulation,l_insulation,True,True,42.454195,1.171291,55.52608,124.816579,302430.469233,0,489.568885,LT-ready,2,3640.249974,Almost LT-ready,1,5033.284859,Almost LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsl_insulation.png
HR++,h_r_insulation,l_insulation,True,True,38.379907,1.176969,55.531758,120.74797,286898.238488,0,409.91741,LT-ready,2,3455.194033,Almost LT-ready,0,4762.499606,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsl_insulation.png
triple_glas,h_r_insulation,l_insulation,True,True,35.863833,1.195557,55.550346,118.250484,277316.696058,0,360.953933,LT-ready,0,3348.810751,LT-ready,0,4596.860087,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsl_insulation.png
double_glas,non_insulated_r,m_insulation,False,True,75.592566,1.512806,55.867594,158.296466,429029.254679,0,773.030928,LT-ready,5,5922.253679,Not LT-ready,3,10834.751204,Not LT-ready,Windowsdouble_glas_Roofnon_insulated_r_Wallsm_insulation.png
acht_w_foil,non_insulated_r,m_insulation,False,True,70.476571,1.529139,55.883928,153.196804,409532.099066,0,675.48964,LT-ready,5,5712.339758,Not LT-ready,3,10542.994124,Not LT-ready,Windowsacht_w_foil_Roofnon_insulated_r_Wallsm_insulation.png
HR++,non_insulated_r,m_insulation,False,True,66.677106,1.536494,55.891283,149.404694,395048.979615,0,599.593558,LT-ready,5,5558.470049,Not LT-ready,3,10321.080949,Not LT-ready,WindowsHR++_Roofnon_insulated_r_Wallsm_insulation.png
triple_glas,non_insulated_r,m_insulation,False,True,64.358805,1.551342,55.906131,147.10124,386219.014697,0,552.843158,LT-ready,5,5463.856101,Not LT-ready,3,10186.295938,Not LT-ready,Windowstriple_glas_Roofnon_insulated_r_Wallsm_insulation.png
double_glas,l_r_insulation,m_insulation,False,True,54.279714,1.240654,55.595443,136.711462,347571.463366,0,628.924498,LT-ready,4,4375.655372,Almost LT-ready,3,7040.058922,Almost LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallsm_insulation.png
acht_w_foil,l_r_insulation,m_insulation,True,True,48.987337,1.262317,55.617106,131.440748,327405.391537,0,528.485021,LT-ready,3,4124.060918,Almost LT-ready,3,6708.238524,Almost LT-ready,Windowsacht_w_foil_Roofl_r_insulation_Wallsm_insulation.png
HR++,l_r_insulation,m_insulation,True,True,45.024206,1.267492,55.622281,127.482792,312296.680051,0,450.168131,LT-ready,3,3950.684827,Almost LT-ready,3,6453.872033,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallsm_insulation.png
triple_glas,l_r_insulation,m_insulation,True,True,42.561443,1.281125,55.635914,125.033661,302915.012256,0,401.921405,LT-ready,3,3847.60822,Almost LT-ready,3,6298.562046,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallsm_insulation.png
