in:Walls,in:Roof,in:Windows,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
l_insulation,m_r_insulation,monumental_glas,False,True,50.909899,1.181944,55.536733,133.282938,334681.228785,0,617.612417,LT-ready,3,4106.5335,Almost LT-ready,3,5917.522121,Almost LT-ready,Wallsl_insulation_Roofm_r_insulation_Windowsmonumental_glas.png
m_insulation,m_r_insulation,monumental_glas,True,True,47.721308,1.167385,55.522174,130.079787,322512.42136,0,577.053243,LT-ready,3,3915.628703,Almost LT-ready,3,5877.012205,Almost LT-ready,Wallsm_insulation_Roofm_r_insulation_Windowsmonumental_glas.png
h_insulation,m_r_insulation,monumental_glas,True,True,46.047189,1.160458,55.515247,128.398741,316123.876461,0,555.470602,LT-ready,3,3814.586766,Almost LT-ready,3,5855.394986,Almost LT-ready,Wallsh_insulation_Roofm_r_insulation_Windowsmonumental_glas.png
non_insulated_w,h_r_insulation,monumental_glas,False,False,94.795608,1.426651,55.78144,177.413353,502195.311339,4,1228.591942,Almost LT-ready,12,5721.941581,Not LT-ready,2,5955.598762,Almost LT-ready,Wallsnon_insulated_w_Roofh_r_insulation_Windowsmonumental_glas.png
cavity_w_insulation,h_r_insulation,monumental_glas,True,True,49.533217,1.156512,55.511301,131.880823,329414.140301,0,612.33415,LT-ready,3,3995.018924,Almost LT-ready,1,5406.814729,Almost LT-ready,Wallscavity_w_insulation_Roofh_r_insulation_Windowsmonumental_glas.png
l_insulation,h_r_insulation,monumental_glas,True,True,47.913457,1.148788,55.503577,130.253339,323232.328985,0,591.918734,LT-ready,3,3898.630573,Almost LT-ready,1,5386.04378,Almost LT-ready,Wallsl_insulation_Roofh_r_insulation_Windowsmonumental_glas.png
m_insulation,h_r_insulation,monumental_glas,True,True,44.702808,1.134171,55.48896,127.028073,310979.373491,0,550.983561,LT-ready,2,3706.27622,Almost LT-ready,1,5344.291149,Almost LT-ready,Wallsm_insulation_Roofh_r_insulation_Windowsmonumental_glas.png
h_insulation,h_r_insulation,monumental_glas,True,True,43.042275,1.126545,55.481334,125.359914,304642.153221,0,529.200707,LT-ready,2,3604.509383,Almost LT-ready,1,5322.002501,Almost LT-ready,Wallsh_insulation_Roofh_r_insulation_Windowsmonumental_glas.png
non_insulated_w,non_insulated_r,acht_w_foil,False,False,131.970984,1.997588,56.352377,215.159666,644345.948516,3,1332.429893,Almost LT-ready,13,9379.121102,Not LT-ready,3,13397.511999,Not LT-ready,Wallsnon_insulated_w_Roofnon_insulated_r_Windowsacht_w_foil.png
cavity_w_insulation,non_insulated_r,acht_w_foil,False,False,88.489845,1.734515,56.089304,171.415453,478361.933947,0,813.853251,LT-ready,5,7016.399678,Not LT-ready,3,12990.177734,Not LT-ready,Wallscavity_w_insulation_Roofnon_insulated_r_Windowsacht_w_foil.png
l_insulation,non_insulated_r,acht_w_foil,False,False,86.949792,1.726651,56.081439,169.867537,472483.970384,0,794.643392,LT-ready,5,6928.786959,Not LT-ready,3,12975.268463,Not LT-ready,Wallsl_insulation_Roofnon_insulated_r_Windowsacht_w_foil.png
m_insulation,non_insulated_r,acht_w_foil,False,False,83.8908,1.713546,56.068335,166.795439,460810.353042,0,756.195473,LT-ready,5,6753.664958,Not LT-ready,3,12945.485124,Not LT-ready,Wallsm_insulation_Roofnon_insulated_r_Windowsacht_w_foil.png
h_insulation,non_insulated_r,acht_w_foil,False,False,82.314563,1.700106,56.054895,165.205763,454790.572668,0,735.790846,LT-ready,5,6660.867469,Not LT-ready,3,12929.729546,Not LT-ready,Wallsh_insulation_Roofnon_insulated_r_Windowsacht_w_foil.png
non_insulated_w,l_r_insulation,acht_w_foil,False,False,98.55097,1.547625,55.902414,181.289689,516598.568306,3,1177.081539,Almost LT-ready,13,7000.445333,Not LT-ready,3,7285.091854,Almost LT-ready,Wallsnon_insulated_w_Roofl_r_insulation_Windowsacht_w_foil.png
cavity_w_insulation,l_r_insulation,acht_w_foil,False,True,53.698024,1.283799,55.638588,136.172918,345383.044285,0,589.122355,LT-ready,3,4409.648699,Almost LT-ready,3,6766.747503,Almost LT-ready,Wallscavity_w_insulation_Roofl_r_insulation_Windowsacht_w_foil.png
l_insulation,l_r_insulation,acht_w_foil,False,True,52.123305,1.277527,55.632316,134.591926,339373.98171,0,568.926453,LT-ready,3,4314.358658,Almost LT-ready,3,6747.248305,Almost LT-ready,Wallsl_insulation_Roofl_r_insulation_Windowsacht_w_foil.png
m_insulation,l_r_insulation,acht_w_foil,True,True,48.987337,1.262317,55.617106,131.440748,327405.391537,0,528.485021,LT-ready,3,4124.060918,Almost LT-ready,3,6708.238524,Almost LT-ready,Wallsm_insulation_Roofl_r_insulation_Windowsacht_w_foil.png
h_insulation,l_r_insulation,acht_w_foil,True,True,47.350634,1.250752,55.605541,129.79248,321156.332088,0,506.913733,LT-ready,3,4023.156766,Almost LT-ready,3,6687.356638,Almost LT-ready,Wallsh_insulation_Roofl_r_insulation_Windowsacht_w_foil.png
non_insulated_w,m_r_insulation,acht_w_foil,False,False,92.196663,1.472995,55.827784,174.860752,492316.866833,3,1155.137432,Almost LT-ready,11,5743.64753,Not LT-ready,2,6138.62846,Almost LT-ready,Wallsnon_insulated_w_Roofm_r_insulation_Windowsacht_w_foil.png
cavity_w_insulation,m_r_insulation,acht_w_foil,True,True,47.048632,1.208644,55.563433,129.44837,319975.755609,0,536.726411,LT-ready,3,3948.397009,Almost LT-ready,2,5592.735752,Almost LT-ready,Wallscavity_w_insulation_Roofm_r_insulation_Windowsacht_w_foil.png
l_insulation,m_r_insulation,acht_w_foil,True,True,45.512564,1.201379,55.556168,127.905037,314113.399024,0,516.196715,LT-ready,3,3851.379133,Almost LT-ready,1,5571.94343,Almost LT-ready,Wallsl_insulation_Roofm_r_insulation_Windowsacht_w_foil.png
m_insulation,m_r_insulation,acht_w_foil,True,True,42.338751,1.185024,55.539813,124.714869,301999.709607,0,475.067892,LT-ready,3,3657.670749,Almost LT-ready,1,5530.255606,Almost LT-ready,Wallsm_insulation_Roofm_r_insulation_Windowsacht_w_foil.png
h_insulation,m_r_insulation,acht_w_foil,True,True,40.718176,1.179689,55.534478,123.088959,295816.43298,0,453.140888,LT-ready,2,3554.967454,Almost LT-ready,1,5507.853505,Almost LT-ready,Wallsh_insulation_Roofm_r_insulation_Windowsacht_w_foil.png
non_insulated_w,h_r_insulation,acht_w_foil,False,False,89.275306,1.44073,55.795519,171.90713,481154.898034,2,1144.682434,Almost LT-ready,10,5538.996952,Not LT-ready,1,5614.405456,Almost LT-ready,Wallsnon_insulated_w_Roofh_r_insulation_Windowsacht_w_foil.png
cavity_w_insulation,h_r_insulation,acht_w_foil,True,True,44.02294,1.176455,55.531244,126.390489,308415.987065,0,510.263457,LT-ready,3,3737.995962,Almost LT-ready,1,5054.717273,Almost LT-ready,Wallscavity_w_insulation_Roofh_r_insulation_Windowsacht_w_foil.png
l_insulation,h_r_insulation,acht_w_foil,True,True,42.454195,1.171291,55.52608,124.816579,302430.469233,0,489.568885,LT-ready,2,3640.249974,Almost LT-ready,1,5033.284859,Almost LT-ready,Wallsl_insulation_Roofh_r_insulation_Windowsacht_w_foil.png
m_insulation,h_r_insulation,acht_w_foil,True,True,39.274251,1.156277,55.511066,121.621622,290294.324529,0,448.090255,LT-ready,2,3445.115825,Almost LT-ready,1,4990.245381,Almost LT-ready,Wallsm_insulation_Roofh_r_insulation_Windowsacht_w_foil.png
h_insulation,h_r_insulation,acht_w_foil,True,True,37.66009,1.149466,55.504255,120.00065,284134.493976,0,425.989821,LT-ready,0,3341.702521,LT-ready,1,4967.07382,Almost LT-ready,Wallsh_insulation_Roofh_r_insulation_Windowsacht_w_foil.png
non_insulated_w,non_insulated_r,HR++,False,False,128.150881,2.006209,56.360998,211.348184,629785.002632,2,1261.910969,Almost LT-ready,12,9249.725214,Not LT-ready,3,13196.971123,Not LT-ready,Wallsnon_insulated_w_Roofnon_insulated_r_WindowsHR++.png
cavity_w_insulation,non_insulated_r,HR++,False,False,84.768289,1.749973,56.104761,167.709355,464181.474832,0,739.785454,LT-ready,5,6872.046917,Not LT-ready,3,12785.541808,Not LT-ready,Wallscavity_w_insulation_Roofnon_insulated_r_WindowsHR++.png
l_insulation,non_insulated_r,HR++,False,False,83.222229,1.736083,56.090872,166.149406,458276.457705,0,720.358013,LT-ready,5,6783.672388,Not LT-ready,3,12770.419217,Not LT-ready,Wallsl_insulation_Roofnon_insulated_r_WindowsHR++.png
m_insulation,non_insulated_r,HR++,False,False,80.175408,1.719996,56.074785,163.086498,446647.200648,0,681.386199,LT-ready,5,6606.875646,Not LT-ready,3,12740.159352,Not LT-ready,Wallsm_insulation_Roofnon_insulated_r_WindowsHR++.png
h_insulation,non_insulated_r,HR++,False,True,78.66727,1.712045,56.066834,161.570409,440890.873373,0,660.595309,LT-ready,5,6513.031817,Not LT-ready,3,12724.081332,Not LT-ready,Wallsh_insulation_Roofnon_insulated_r_WindowsHR++.png
non_insulated_w,l_r_insulation,HR++,False,False,94.476109,1.556171,55.91096,177.223374,501066.125703,1,1111.509519,Almost LT-ready,11,6855.405265,Not LT-ready,3,7040.071569,Almost LT-ready,Wallsnon_insulated_w_Roofl_r_insulation_WindowsHR++.png
cavity_w_insulation,l_r_insulation,HR++,True,True,49.690922,1.293541,55.64833,132.175557,330109.799909,0,511.784799,LT-ready,3,4244.621771,Almost LT-ready,3,6514.346691,Almost LT-ready,Wallscavity_w_insulation_Roofl_r_insulation_WindowsHR++.png
l_insulation,l_r_insulation,HR++,True,True,48.105615,1.285378,55.640167,130.582088,324059.06701,0,491.246451,LT-ready,3,4146.926041,Almost LT-ready,3,6494.188039,Almost LT-ready,Wallsl_insulation_Roofl_r_insulation_WindowsHR++.png
m_insulation,l_r_insulation,HR++,True,True,45.024206,1.267492,55.622281,127.482792,312296.680051,0,450.168131,LT-ready,3,3950.684827,Almost LT-ready,3,6453.872033,Almost LT-ready,Wallsm_insulation_Roofl_r_insulation_WindowsHR++.png
h_insulation,l_r_insulation,HR++,True,True,43.376475,1.25952,55.614309,125.827089,306008.04001,0,428.237667,LT-ready,3,3846.233395,Almost LT-ready,3,6432.243316,Almost LT-ready,Wallsh_insulation_Roofl_r_insulation_WindowsHR++.png
non_insulated_w,m_r_insulation,HR++,False,False,88.034397,1.481621,55.83641,170.707112,476451.181416,1,1089.555465,Almost LT-ready,9,5603.274706,Not LT-ready,1,5883.239492,Almost LT-ready,Wallsnon_insulated_w_Roofm_r_insulation_WindowsHR++.png
cavity_w_insulation,m_r_insulation,HR++,True,True,42.994488,1.218823,55.573612,125.404405,304523.434795,0,458.123129,LT-ready,3,3771.082296,Almost LT-ready,1,5328.51644,Almost LT-ready,Wallscavity_w_insulation_Roofm_r_insulation_WindowsHR++.png
l_insulation,m_r_insulation,HR++,True,True,41.446891,1.213206,55.567995,123.851191,298618.247693,0,437.276449,LT-ready,3,3671.646976,Almost LT-ready,1,5306.940625,Almost LT-ready,Wallsl_insulation_Roofm_r_insulation_WindowsHR++.png
m_insulation,m_r_insulation,HR++,True,True,38.360434,1.198147,55.552936,120.749675,286838.556591,0,395.62965,LT-ready,2,3471.791549,Almost LT-ready,1,5263.716937,Almost LT-ready,Wallsm_insulation_Roofm_r_insulation_WindowsHR++.png
h_insulation,m_r_insulation,HR++,True,True,36.702974,1.186142,55.54093,119.08021,280510.042187,0,373.414512,LT-ready,2,3365.463554,Almost LT-ready,1,5240.45866,Almost LT-ready,Wallsh_insulation_Roofm_r_insulation_WindowsHR++.png
non_insulated_w,h_r_insulation,HR++,False,False,85.070296,1.447137,55.801926,167.708527,465124.693571,1,1079.092356,Almost LT-ready,7,5071.200304,Not LT-ready,1,5354.002747,Almost LT-ready,Wallsnon_insulated_w_Roofh_r_insulation_WindowsHR++.png
cavity_w_insulation,h_r_insulation,HR++,True,True,39.937758,1.185027,55.539815,122.313878,292844.204119,0,430.898613,LT-ready,2,3555.358224,Almost LT-ready,0,4784.772911,LT-ready,Wallscavity_w_insulation_Roofh_r_insulation_WindowsHR++.png
l_insulation,h_r_insulation,HR++,True,True,38.379907,1.176969,55.531758,120.74797,286898.238488,0,409.91741,LT-ready,2,3455.194033,Almost LT-ready,0,4762.499606,LT-ready,Wallsl_insulation_Roofh_r_insulation_WindowsHR++.png
m_insulation,h_r_insulation,HR++,True,True,35.2521,1.163334,55.518122,117.606528,274961.850832,0,367.980223,LT-ready,0,3253.812108,LT-ready,0,4717.726235,LT-ready,Wallsm_insulation_Roofh_r_insulation_WindowsHR++.png
h_insulation,h_r_insulation,HR++,True,True,33.674281,1.159775,55.514564,116.02515,268942.838438,0,345.625606,LT-ready,0,3146.736632,LT-ready,0,4693.559551,LT-ready,Wallsh_insulation_Roofh_r_insulation_WindowsHR++.png
non_insulated_w,non_insulated_r,vacuum_glas,False,False,125.81931,2.020672,56.375461,209.031076,620904.170753,2,1218.803356,Almost LT-ready,12,9170.807392,Not LT-ready,3,13075.989663,Not LT-ready,Wallsnon_insulated_w_Roofnon_insulated_r_Windowsvacuum_glas.png
cavity_w_insulation,non_insulated_r,vacuum_glas,False,False,82.465824,1.753975,56.108764,165.410892,455404.432751,0,694.335223,LT-ready,5,6783.644591,Not LT-ready,3,12661.840965,Not LT-ready,Wallscavity_w_insulation_Roofnon_insulated_r_Windowsvacuum_glas.png
l_insulation,non_insulated_r,vacuum_glas,False,False,80.931402,1.74287,56.097659,163.865365,449545.708,0,674.718291,LT-ready,5,6694.735302,Not LT-ready,3,12646.535789,Not LT-ready,Wallsl_insulation_Roofnon_insulated_r_Windowsvacuum_glas.png
m_insulation,non_insulated_r,vacuum_glas,False,True,77.979441,1.72778,56.082569,160.898314,438278.858286,0,635.259538,LT-ready,5,6516.729147,Not LT-ready,3,12615.82783,Not LT-ready,Wallsm_insulation_Roofnon_insulated_r_Windowsvacuum_glas.png
h_insulation,non_insulated_r,vacuum_glas,False,True,76.378756,1.722105,56.076894,159.291955,432171.198249,0,614.209453,LT-ready,5,6422.154452,Not LT-ready,3,12599.476609,Not LT-ready,Wallsh_insulation_Roofnon_insulated_r_Windowsvacuum_glas.png
non_insulated_w,l_r_insulation,vacuum_glas,False,False,91.9307,1.565709,55.920498,174.687503,491366.494316,0,1071.047486,LT-ready,11,6766.586884,Not LT-ready,3,6891.380551,Almost LT-ready,Wallsnon_insulated_w_Roofl_r_insulation_Windowsvacuum_glas.png
cavity_w_insulation,l_r_insulation,vacuum_glas,True,True,47.184634,1.305325,55.660114,129.681052,320560.891394,0,464.080089,LT-ready,3,4144.099844,Almost LT-ready,3,6360.2408,Almost LT-ready,Wallscavity_w_insulation_Roofl_r_insulation_Windowsvacuum_glas.png
l_insulation,l_r_insulation,vacuum_glas,True,True,45.638879,1.29693,55.651719,128.126903,314660.818002,0,443.456185,LT-ready,3,4045.495708,Almost LT-ready,3,6339.859249,Almost LT-ready,Wallsl_insulation_Roofl_r_insulation_Windowsvacuum_glas.png
m_insulation,l_r_insulation,vacuum_glas,True,True,42.561443,1.281125,55.635914,125.033661,302915.012256,0,401.921405,LT-ready,3,3847.60822,Almost LT-ready,3,6298.562046,Almost LT-ready,Wallsm_insulation_Roofl_r_insulation_Windowsvacuum_glas.png
h_insulation,l_r_insulation,vacuum_glas,True,True,40.970587,1.27341,55.628199,123.43509,296843.425866,0,379.63453,LT-ready,3,3742.134406,Almost LT-ready,3,6276.295116,Almost LT-ready,Wallsh_insulation_Roofl_r_insulation_Windowsvacuum_glas.png
non_insulated_w,m_r_insulation,vacuum_glas,False,False,85.462807,1.495581,55.85037,168.149482,466654.75957,0,1049.08748,LT-ready,9,5516.918169,Not LT-ready,1,5728.066632,Almost LT-ready,Wallsnon_insulated_w_Roofm_r_insulation_Windowsvacuum_glas.png
cavity_w_insulation,m_r_insulation,vacuum_glas,True,True,40.495612,1.231636,55.586424,122.918341,295003.496419,0,409.657791,LT-ready,3,3667.462461,Almost LT-ready,1,5166.897024,Almost LT-ready,Wallscavity_w_insulation_Roofm_r_insulation_Windowsvacuum_glas.png
