in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
HR++,m_insulation,m_r_insulation,min gap_s + vC1,False,False,110.235624,3.752438,48.259221,195.431227,43347.1967,624.907133,LT-ready,2200.592218,LT-ready,0,True,9.589041,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,m_insulation,m_r_insulation,min gap_s + vC1,False,False,102.252971,3.808277,48.315061,187.504414,41130.1956,571.114952,LT-ready,2112.569473,LT-ready,0,True,11.369863,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,h_insulation,m_r_insulation,min gap_s + vC1,False,False,134.857557,3.540436,48.047219,219.841158,50183.385325,760.392681,LT-ready,2486.998901,Almost LT-ready,0.182648,True,6.974886,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,h_insulation,m_r_insulation,min gap_s + vC1,False,False,117.152324,3.636427,48.14321,202.231916,45264.759673,653.243467,LT-ready,2303.93695,LT-ready,0,True,9.018265,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
HR++,h_insulation,m_r_insulation,min gap_s + vC1,False,False,103.799449,3.665836,48.17262,188.908451,41553.089469,566.899055,LT-ready,2160.930742,LT-ready,0,True,10.947489,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,h_insulation,m_r_insulation,min gap_s + vC1,False,False,95.68456,3.725491,48.232274,180.853216,39299.507796,512.392328,LT-ready,2071.897813,LT-ready,0,True,13.299087,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,l_insulation,h_r_insulation,min gap_s + vC1,False,False,134.133853,3.50089,48.007674,219.077909,49980.154348,822.243586,LT-ready,2170.867328,LT-ready,2.716895,False,6.8379,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,l_insulation,h_r_insulation,min gap_s + vC1,False,False,116.661109,3.59552,48.102304,201.699795,45126.110565,715.968832,LT-ready,1983.896611,LT-ready,0.97032,True,8.047945,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
HR++,l_insulation,h_r_insulation,min gap_s + vC1,False,False,103.014224,3.622585,48.129369,188.079975,41332.564849,630.258337,LT-ready,1838.134743,LT-ready,0.182648,True,9.531963,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,l_insulation,h_r_insulation,min gap_s + vC1,False,False,94.868967,3.683125,48.189909,179.995258,39070.582955,576.095081,LT-ready,1747.65801,LT-ready,0,True,11.130137,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
