BAG_pand_i	BAG_pand_b	Q_c_kWh 	Elec_kWh	Pec_4_cooling	COP	Q_v_kWh	Delta_T	H	Volume_m3	ACH_hr	Q_all_kWh	Q_all_GJ	BAG_pand_o	Meest_voor	Hoofdfun_1	Gebruiksop	LNG	LAT
3.631E+14	1959	16867.7703	19844.43564	0.17	4	38963.0683	10.6987785	3.050880626	445.4285714	3	55830.8386	200.991019	146	G	K	146	4.898472	52.368244
3.631E+14	1005	25851.52797	34468.70396	0.15	4	77534.04913	11.6987785	2.9875	1215.9125	2	103385.5771	372.1880776	407	F	L	407	4.910595	52.361876
3.631E+14	1935	12027.36603	20045.61006	0.12	4	27419.89466	8.698778498	3.3525	385.5375	3	39447.26069	142.0101385	115	A	D	42	4.920425	52.369429
3.631E+14	1680	17329.90099	20388.11881	0.17	4	40030.54963	10.6987785	3.050880626	457.6320939	3	57360.45062	206.4976222	150	G	K	150	4.890876	52.360816
3.631E+14	1726	12445.7092	20742.84867	0.12	4	28373.63012	8.698778498	3.3525	398.9475	3	40819.33932	146.9496216	119	A	D	46	4.890907	52.375115
3.631E+14	1984	1093506.53	1286478.27	0.17	4	11292557.51	9.698778498	4	71204	6	12386064.04	44589.83054	17801	E	O	17801	4.889832	52.374104
3.631E+14	1997	5422.333465	6379.215842	0.17	4	23484.58911	10.6987785	3.050880626	268.4774951	3	28906.92258	104.0649213	88	A	K	88	4.886779	52.384373
3.631E+14	1997	5422.333465	6379.215842	0.17	4	23484.58911	10.6987785	3.050880626	268.4774951	3	28906.92258	104.0649213	88	A+	K	88	4.886927	52.384275
3.631E+14	1912	2937070.232	834394.9524	0.88	3	653785.6621	8.698778498	3.3525	9192.555	3	3590855.895	12927.08122	14471	G	U	2742	4.882757	52.363469
3.631E+14	1903	11091.13663	13048.39604	0.17	4	38429.32764	10.6987785	3.050880626	439.3268102	3	49520.46428	178.2736714	144	C	K	37	4.878013	52.373901
3.631E+14	1710	8554.282759	11405.71034	0.15	4	42551.72247	9.698778498	3.048923679	201.2289628	8	51106.00523	183.9816188	66	A++	H	66	4.890239	52.366556
3.631E+14	1738	17792.03168	20931.80198	0.17	4	41098.03095	10.6987785	3.050880626	469.8356164	3	58890.06263	212.0042255	154	G	K	61	4.891236	52.377273
