in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
acht_w_foil,l_insulation,l_r_insulation,No gap_s + vA,False,False,150.820105,4.008662,48.515445,236.271932,54645.722586,932.15794,LT-ready,3409.452473,Almost LT-ready,6.541096,False,6.232877,False,Windowsacht_w_foil_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,l_r_insulation,No gap_s + vA,False,False,137.62032,4.039211,48.545994,223.102696,50976.680564,848.63599,LT-ready,3273.94975,Almost LT-ready,4.406393,False,7.146119,False,WindowsHR++_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,l_r_insulation,No gap_s + vA,False,False,129.390567,4.104328,48.611111,214.93806,48691.431849,796.012456,LT-ready,3190.021557,Almost LT-ready,3.287671,False,7.694064,False,Windowstriple_glas_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,l_r_insulation,No gap_s + vA,False,False,162.503001,3.838222,48.345006,247.784389,57885.930303,985.201249,LT-ready,3551.04589,Almost LT-ready,5.86758,False,5.43379,False,Windowsdouble_glas_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,l_r_insulation,No gap_s + vA,False,False,144.915879,3.939282,48.446066,230.298327,53000.403151,880.254068,LT-ready,3375.873096,Almost LT-ready,3.538813,False,6.461187,False,Windowsacht_w_foil_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,l_r_insulation,No gap_s + vA,False,False,131.626236,3.966078,48.472861,217.035479,49306.18517,795.793258,LT-ready,3239.460725,Almost LT-ready,1.986301,False,7.328767,False,WindowsHR++_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,l_r_insulation,No gap_s + vA,False,False,123.5094,4.028576,48.535359,208.981141,47052.204801,742.549115,LT-ready,3154.856186,Almost LT-ready,1.027397,True,8.356164,False,Windowstriple_glas_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,l_r_insulation,No gap_s + vA,False,False,159.498091,3.799732,48.306516,244.740989,57048.398156,958.24345,LT-ready,3533.722151,Almost LT-ready,4.23516,False,5.53653,False,Windowsdouble_glas_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,l_r_insulation,No gap_s + vA,False,False,141.904538,3.892839,48.399622,227.240542,52160.683519,852.686565,LT-ready,3357.994418,Almost LT-ready,2.317352,False,6.621005,False,Windowsacht_w_foil_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,l_r_insulation,No gap_s + vA,False,False,128.505142,3.927004,48.433787,213.875311,48436.315454,767.711162,LT-ready,3221.050383,Almost LT-ready,0.913242,True,7.545662,False,WindowsHR++_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
