in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
HR++,m_insulation,h_r_insulation,min gap_s + vC1,False,True,66.805589,3.463904,47.970688,151.712659,31255.762315,336.288848,LT-ready,1780.435861,LT-ready,0,True,49.577626,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,m_insulation,h_r_insulation,min gap_s + vC1,False,True,59.58612,3.523904,48.030688,144.55319,29251.194967,280.620447,LT-ready,1688.356484,LT-ready,0,True,59.018265,False,Windowstriple_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,h_insulation,h_r_insulation,min gap_s + vC1,False,False,91.937038,3.287142,47.793925,176.667345,38235.404768,513.59992,LT-ready,2084.438122,LT-ready,0,True,27.408676,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,h_insulation,h_r_insulation,min gap_s + vC1,False,True,76.411148,3.386497,47.89328,161.24081,33922.97615,404.211403,LT-ready,1895.662584,LT-ready,0,True,39.189498,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
HR++,h_insulation,h_r_insulation,min gap_s + vC1,False,True,64.56223,3.429223,47.936006,149.434618,30630.192152,535.989208,LT-ready,1899.674691,LT-ready,0,True,52.283105,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,h_insulation,h_r_insulation,min gap_s + vC1,False,True,57.51853,3.488351,47.995134,142.450046,28674.458606,503.466323,LT-ready,1654.726609,LT-ready,0,True,62.751142,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,l_insulation,m_r_insulation,min gap_s + vC2,False,False,99.265327,3.424704,47.931487,184.133196,40280.14706,554.020356,LT-ready,2493.785079,Almost LT-ready,0,True,26.872146,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,l_insulation,m_r_insulation,min gap_s + vC2,False,False,84.11742,3.524279,48.031062,169.084864,36072.838389,446.067037,LT-ready,2311.833471,LT-ready,0,True,37.773973,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
HR++,l_insulation,m_r_insulation,min gap_s + vC2,False,True,72.647536,3.565335,48.072118,157.656036,32885.371753,359.058146,LT-ready,2169.553794,LT-ready,0,True,49.908676,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,l_insulation,m_r_insulation,min gap_s + vC2,False,True,65.510275,3.634756,48.14154,150.588197,30904.137507,304.086055,LT-ready,2080.720464,LT-ready,0,True,58.869863,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,m_insulation,m_r_insulation,min gap_s + vC2,False,False,98.44476,3.411499,47.918282,183.299424,40051.302421,547.137125,LT-ready,2483.17203,Almost LT-ready,0,True,27.203196,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,m_insulation,m_r_insulation,min gap_s + vC2,False,False,83.327526,3.516493,48.023277,168.287185,35852.795247,439.055252,LT-ready,2300.957741,LT-ready,0,True,38.413242,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
HR++,m_insulation,m_r_insulation,min gap_s + vC2,False,True,71.837253,3.550743,48.057526,156.831161,32659.317268,351.931077,LT-ready,2158.413495,LT-ready,0,True,50.696347,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,m_insulation,m_r_insulation,min gap_s + vC2,False,True,64.655316,3.620518,48.127302,149.719,30665.677357,343.035753,LT-ready,2069.361031,LT-ready,0,True,60.068493,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,h_insulation,m_r_insulation,min gap_s + vC2,False,False,96.13277,3.382585,47.889369,180.958521,39406.936971,527.672908,LT-ready,2453.176424,LT-ready,0,True,28.458904,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,h_insulation,m_r_insulation,min gap_s + vC2,False,False,81.083854,3.48211,47.988894,166.00913,35227.153051,419.220258,LT-ready,2270.1858,LT-ready,0,True,40.422374,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
HR++,h_insulation,m_r_insulation,min gap_s + vC2,False,True,69.558916,3.528718,48.035501,154.530799,32024.655658,331.763977,LT-ready,2126.84166,LT-ready,0,True,52.990868,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,h_insulation,m_r_insulation,min gap_s + vC2,False,True,62.499008,3.593081,48.099864,147.535254,30064.67773,276.48743,LT-ready,2037.082344,LT-ready,0,True,63.401826,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,l_insulation,h_r_insulation,min gap_s + vC2,False,False,89.950324,3.268462,47.775245,174.661951,37682.005081,540.195605,LT-ready,2126.545454,LT-ready,0,True,27.385845,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,l_insulation,h_r_insulation,min gap_s + vC2,False,True,74.663354,3.36827,47.875054,159.47479,33436.037737,431.350193,LT-ready,1938.876777,LT-ready,0,True,38.812785,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
HR++,l_insulation,h_r_insulation,min gap_s + vC2,False,True,63.056309,3.415129,47.921913,147.914604,30210.720807,343.499926,LT-ready,1792.003137,LT-ready,0,True,51.164384,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,l_insulation,h_r_insulation,min gap_s + vC2,False,True,55.985998,3.469563,47.976346,140.898726,28247.351702,287.915511,LT-ready,1700.173889,LT-ready,0,True,60.627854,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,m_insulation,h_r_insulation,min gap_s + vC2,False,False,89.107229,3.257027,47.76381,173.807421,37446.984718,533.249631,LT-ready,2115.542349,LT-ready,0,True,27.773973,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,m_insulation,h_r_insulation,min gap_s + vC2,False,True,73.785942,3.358247,47.865031,158.587355,33191.545418,424.264851,LT-ready,1927.593717,LT-ready,0,True,39.440639,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
HR++,m_insulation,h_r_insulation,min gap_s + vC2,False,True,62.207364,3.403675,47.910458,147.054204,29974.072682,336.288848,LT-ready,1780.435861,LT-ready,0,True,51.997717,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,m_insulation,h_r_insulation,min gap_s + vC2,False,True,55.19316,3.46235,47.969133,140.098675,28026.518603,280.620447,LT-ready,1688.356484,LT-ready,0,True,61.849315,False,Windowstriple_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,h_insulation,h_r_insulation,min gap_s + vC2,False,False,86.835334,3.234292,47.741075,171.512791,36814.078858,513.59992,LT-ready,2084.438122,LT-ready,0,True,29.178082,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,h_insulation,h_r_insulation,min gap_s + vC2,False,True,71.585034,3.327582,47.834365,156.355781,32577.9815,404.211403,LT-ready,1895.662584,LT-ready,0,True,41.518265,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
HR++,h_insulation,h_r_insulation,min gap_s + vC2,False,True,60.056225,3.372129,47.878913,144.87152,29374.304336,535.989208,LT-ready,1899.674691,LT-ready,0,True,54.714612,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
triple_glas,h_insulation,h_r_insulation,min gap_s + vC2,False,True,53.308119,3.435669,47.942452,138.186953,27500.990458,503.466323,LT-ready,1654.726609,LT-ready,0,True,65.479452,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC2.png
double_glas,l_insulation,m_r_insulation,Good gap_s + vD,False,True,51.536799,3.218828,47.725612,136.198793,26997.542728,471.912344,LT-ready,1907.616988,LT-ready,0,True,29.394977,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
acht_w_foil,l_insulation,m_r_insulation,Good gap_s + vD,True,True,39.404558,3.312737,47.81952,124.16046,23628.541241,363.975433,LT-ready,1725.685018,LT-ready,0,True,42.214612,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
HR++,l_insulation,m_r_insulation,Good gap_s + vD,True,True,30.764944,3.348844,47.855628,115.556954,21227.863248,276.982942,LT-ready,1821.952989,LT-ready,0,True,55.148402,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
triple_glas,l_insulation,m_r_insulation,Good gap_s + vD,True,True,26.38119,3.407719,47.914503,111.232075,20011.790532,313.314958,LT-ready,1924.116177,LT-ready,0,True,65.445205,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
