in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
HR++,l_insulation,l_r_insulation,No gap_s + vA,False,False,92.177766,3.859372,48.366156,177.480304,38331.062866,468.213792,LT-ready,3221.892909,Almost LT-ready,0,True,50.410959,False,WindowsHR++_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,l_r_insulation,No gap_s + vA,False,False,85.192574,3.919166,48.425949,170.554905,36391.632503,413.728846,LT-ready,3136.816509,Almost LT-ready,0,True,59.611872,False,Windowstriple_glas_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,l_r_insulation,No gap_s + vA,False,False,116.447863,3.686287,48.19307,201.577315,45071.36646,643.577711,LT-ready,3506.817966,Almost LT-ready,0,True,28.378995,False,Windowsdouble_glas_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,l_r_insulation,No gap_s + vA,False,False,101.532246,3.789183,48.295966,186.764594,40928.819282,536.147899,LT-ready,3331.109298,Almost LT-ready,0,True,40.091324,False,Windowsacht_w_foil_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,l_r_insulation,No gap_s + vA,False,False,90.249924,3.823061,48.329845,175.516151,37793.149416,449.580171,LT-ready,3193.867295,Almost LT-ready,0,True,52.60274,False,WindowsHR++_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,l_r_insulation,No gap_s + vA,False,False,83.245772,3.902584,48.409367,168.591521,35849.436766,394.8905,LT-ready,3108.310252,Almost LT-ready,0,True,62.557078,False,Windowstriple_glas_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,l_r_insulation,No gap_s + vA,False,False,115.370153,3.670981,48.177764,200.484299,44770.910471,634.086226,LT-ready,3492.706984,Almost LT-ready,0,True,28.972603,False,Windowsdouble_glas_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,l_r_insulation,No gap_s + vA,False,False,100.430305,3.780163,48.286947,185.653634,40621.940683,526.479962,LT-ready,3316.658664,Almost LT-ready,0,True,40.924658,False,Windowsacht_w_foil_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,l_r_insulation,No gap_s + vA,False,False,89.09425,3.811431,48.318215,174.348847,37471.197799,439.751879,LT-ready,3179.076765,Almost LT-ready,0,True,53.90411,False,WindowsHR++_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,l_r_insulation,No gap_s + vA,False,False,82.196405,3.880559,48.387343,167.52013,35556.525218,384.950503,LT-ready,3093.242199,Almost LT-ready,0,True,64.315068,False,Windowstriple_glas_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,126.87222,3.81885,48.325634,212.134236,47976.807567,811.924381,LT-ready,3358.353158,Almost LT-ready,0,True,21.015982,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,111.699949,3.91487,48.421654,197.057985,43762.545391,706.98671,LT-ready,3182.176607,Almost LT-ready,0,True,28.515982,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,100.038538,3.959074,48.465858,185.440778,40521.977212,622.55959,LT-ready,3045.166438,Almost LT-ready,0,True,36.221461,False,WindowsHR++_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
